#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 766: Snowbird, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Snowbird (766) 
# Utah  SNOTEL Site - 9170 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Mar 6, 2026, 6:52:29 PM GMT-08:00
#
Date,Snowbird (766) Snow Water Equivalent (in) Start of Month Values
Dec 1997,5.4
Jan 1998,8.2
Feb 1998,17.8
Mar 1998,27.7
Apr 1998,36.8
May 1998,43.2
Jun 1998,26.1
Jul 1998,0.0
Aug 1998,0.0
Sep 1998,0.0
Oct 1998,0.0
Nov 1998,0.7
Dec 1998,4.6
Jan 1999,7.5
Feb 1999,15.0
Mar 1999,22.8
Apr 1999,31.3
May 1999,43.1
Jun 1999,33.5
Jul 1999,0.0
Aug 1999,0.0
Sep 1999,0.0
Oct 1999,0.0
Nov 1999,0.1
Dec 1999,1.6
Jan 2000,7.8
Feb 2000,16.5
Mar 2000,27.2
Apr 2000,35.8
May 2000,34.2
Jun 2000,0.5
Jul 2000,0.0
Aug 2000,0.0
Sep 2000,0.0
Oct 2000,0.0
Nov 2000,2.6
Dec 2000,5.6
Jan 2001,10.5
Feb 2001,13.9
Mar 2001,19.2
Apr 2001,24.5
May 2001,32.6
Jun 2001,0.0
Jul 2001,0.0
Aug 2001,0.0
Sep 2001,0.0
Oct 2001,0.0
Nov 2001,0.9
Dec 2001,9.3
Jan 2002,15.0
Feb 2002,24.4
Mar 2002,31.1
Apr 2002,42.3
May 2002,50.2
Jun 2002,18.9
Jul 2002,0.0
Aug 2002,0.0
Sep 2002,0.0
Oct 2002,0.4
Nov 2002,0.9
Dec 2002,4.2
Jan 2003,7.8
Feb 2003,10.9
Mar 2003,16.5
Apr 2003,25.9
May 2003,30.8
Jun 2003,0.5
Jul 2003,0.0
Aug 2003,0.0
Sep 2003,0.0
Oct 2003,0.0
Nov 2003,1.0
Dec 2003,8.2
Jan 2004,18.3
Feb 2004,26.3
Mar 2004,35.2
Apr 2004,42.5
May 2004,42.4
Jun 2004,14.7
Jul 2004,0.0
Aug 2004,0.0
Sep 2004,0.0
Oct 2004,0.0
Nov 2004,12.1
Dec 2004,15.9
Jan 2005,25.1
Feb 2005,41.2
Mar 2005,48.7
Apr 2005,60.3
May 2005,67.3
Jun 2005,57.1
Jul 2005,5.6
Aug 2005,0.0
Sep 2005,0.0
Oct 2005,0.0
Nov 2005,1.0
Dec 2005,6.1
Jan 2006,20.3
Feb 2006,33.9
Mar 2006,43.1
Apr 2006,58.5
May 2006,68.9
Jun 2006,34.5
Jul 2006,0.0
Aug 2006,0.0
Sep 2006,0.0
Oct 2006,0.0
Nov 2006,1.5
Dec 2006,5.6
Jan 2007,9.1
Feb 2007,10.9
Mar 2007,19.7
Apr 2007,25.8
May 2007,24.5
Jun 2007,0.0
Jul 2007,0.0
Aug 2007,0.0
Sep 2007,0.0
Oct 2007,0.0
Nov 2007,2.8
Dec 2007,4.6
Jan 2008,15.4
Feb 2008,31.8
Mar 2008,43.8
Apr 2008,49.9
May 2008,56.6
Jun 2008,38.3
Jul 2008,0.0
Aug 2008,0.0
Sep 2008,0.0
Oct 2008,0.0
Nov 2008,0.0
Dec 2008,6.0
Jan 2009,17.3
Feb 2009,26.0
Mar 2009,32.9
Apr 2009,43.5
May 2009,51.8
Jun 2009,12.7
Jul 2009,0.0
Aug 2009,0.0
Sep 2009,0.0
Oct 2009,1.2
Nov 2009,1.3
Dec 2009,2.6
Jan 2010,8.6
Feb 2010,17.4
Mar 2010,21.4
Apr 2010,29.3
May 2010,38.0
Jun 2010,36.4
Jul 2010,0.0
Aug 2010,0.0
Sep 2010,0.0
Oct 2010,0.0
Nov 2010,3.1
Dec 2010,13.1
Jan 2011,30.6
Feb 2011,36.5
Mar 2011,46.8
Apr 2011,58.6
May 2011,73.2
Jun 2011,75.1
Jul 2011,20.3
Aug 2011,0.0
Sep 2011,0.0
Oct 2011,0.0
Nov 2011,0.0
Dec 2011,5.5
Jan 2012,7.9
Feb 2012,15.4
Mar 2012,23.3
Apr 2012,28.4
May 2012,27.5
Jun 2012,0.0
Jul 2012,0.0
Aug 2012,0.0
Sep 2012,0.0
Oct 2012,0.0
Nov 2012,0.9
Dec 2012,7.6
Jan 2013,15.8
Feb 2013,20.0
Mar 2013,23.8
Apr 2013,28.2
May 2013,32.5
Jun 2013,7.7
Jul 2013,0.0
Aug 2013,0.0
Sep 2013,0.0
Oct 2013,0.0
Nov 2013,2.8
Dec 2013,4.4
Jan 2014,9.4
Feb 2014,13.1
Mar 2014,21.9
Apr 2014,30.4
May 2014,30.9
Jun 2014,3.2
Jul 2014,0.0
Aug 2014,0.0
Sep 2014,0.0
Oct 2014,0.0
Nov 2014,0.0
Dec 2014,5.7
Jan 2015,15.2
Feb 2015,17.6
Mar 2015,19.6
Apr 2015,19.4
May 2015,16.9
Jun 2015,1.6
Jul 2015,0.0
Aug 2015,0.0
Sep 2015,0.0
Oct 2015,0.0
Nov 2015,0.0
Dec 2015,3.9
Jan 2016,11.2
Feb 2016,20.2
Mar 2016,25.4
Apr 2016,33.7
May 2016,35.1
Jun 2016,12.9
Jul 2016,0.0
Aug 2016,0.0
Sep 2016,0.0
Oct 2016,0.0
Nov 2016,0.4
Dec 2016,6.0
Jan 2017,16.0
Feb 2017,33.3
Mar 2017,48.4
Apr 2017,53.1
May 2017,58.8
Jun 2017,29.9
Jul 2017,0.0
Aug 2017,0.0
Sep 2017,0.0
Oct 2017,0.0
Nov 2017,0.0
Dec 2017,3.1
Jan 2018,6.8
Feb 2018,11.5
Mar 2018,16.9
Apr 2018,26.3
May 2018,23.4
Jun 2018,0.0
Jul 2018,0.0
Aug 2018,0.0
Sep 2018,0.0
Oct 2018,0.0
Nov 2018,0.6
Dec 2018,6.2
Jan 2019,10.4
Feb 2019,22.7
Mar 2019,37.2
Apr 2019,49.0
May 2019,52.3
Jun 2019,46.4
Jul 2019,0.0
Aug 2019,0.0
Sep 2019,0.0
Oct 2019,0.0
Nov 2019,3.4
Dec 2019,8.6
Jan 2020,14.8
Feb 2020,27.2
Mar 2020,36.5
Apr 2020,43.5
May 2020,40.3
Jun 2020,4.2
Jul 2020,0.0
Aug 2020,0.0
Sep 2020,0.0
Oct 2020,0.0
Nov 2020,0.0
Dec 2020,5.5
Jan 2021,8.9
Feb 2021,14.3
Mar 2021,23.8
Apr 2021,29.7
May 2021,31.6
Jun 2021,0.6
Jul 2021,0.0
Aug 2021,0.0
Sep 2021,0.0
Oct 2021,0.0
Nov 2021,4.5
Dec 2021,6.0
Jan 2022,18.3
Feb 2022,22.2
Mar 2022,23.7
Apr 2022,29.6
May 2022,33.3
Jun 2022,11.2
Jul 2022,0.0
Aug 2022,0.0
Sep 2022,0.0
Oct 2022,0.0
Nov 2022,3.8
Dec 2022,11.7
Jan 2023,21.3
Feb 2023,35.8
Mar 2023,46.8
Apr 2023,66.8
May 2023,71.0
Jun 2023,33.5
Jul 2023,0.0
Aug 2023,0.0
Sep 2023,0.0
Oct 2023,0.0
Nov 2023,0.6
Dec 2023,4.5
Jan 2024,11.5
Feb 2024,20.5
Mar 2024,35.8
Apr 2024,46.9
May 2024,46.1
Jun 2024,20.4
Jul 2024,0.0
Aug 2024,0.0
Sep 2024,0.0
Oct 2024,0.0
Nov 2024,1.0
Dec 2024,3.6
Jan 2025,9.3
Feb 2025,15.9
Mar 2025,27.2
Apr 2025,37.7
May 2025,34.0
Jun 2025,0.0
Jul 2025,0.0
Aug 2025,0.0
Sep 2025,0.0
Oct 2025,0.0
Nov 2025,0.0
Dec 2025,1.0
Jan 2026,6.6
Feb 2026,14.5
Mar 2026,22.4
