elevation_ft,date,year,month
4193.8,1962-06-01,1962,6
4193.85,1962-06-15,1962,6
4193.7,1962-07-01,1962,7
4193.35,1962-07-15,1962,7
4193.1,1962-08-01,1962,8
4192.85,1962-08-15,1962,8
4192.55,1962-09-01,1962,9
4192.3,1962-09-15,1962,9
4192.15,1962-10-01,1962,10
4191.9,1962-10-15,1962,10
4191.9,1962-11-01,1962,11
4191.9,1962-11-15,1962,11
4191.9,1962-12-01,1962,12
4191.9,1962-12-15,1962,12
4191.95,1963-01-01,1963,1
4191.95,1963-01-15,1963,1
4191.95,1963-02-01,1963,2
4192.25,1963-02-15,1963,2
4192.35,1963-03-01,1963,3
4192.35,1963-03-15,1963,3
4192.4,1963-04-01,1963,4
4192.55,1963-04-15,1963,4
4192.75,1963-05-01,1963,5
4192.85,1963-05-15,1963,5
4192.8,1963-06-01,1963,6
4192.95,1963-06-15,1963,6
4192.75,1963-07-01,1963,7
4192.55,1963-07-15,1963,7
4192.15,1963-08-01,1963,8
4191.9,1963-08-15,1963,8
4191.65,1963-09-01,1963,9
4191.55,1963-09-15,1963,9
4191.5,1963-10-01,1963,10
4191.35,1963-10-15,1963,10
4191.35,1963-11-01,1963,11
4191.45,1963-11-15,1963,11
4191.7,1963-12-01,1963,12
4191.75,1963-12-15,1963,12
4191.85,1964-01-01,1964,1
4191.85,1964-01-15,1964,1
4191.9,1964-02-01,1964,2
4192.05,1964-02-15,1964,2
4192.05,1964-03-01,1964,3
4192.1,1964-03-15,1964,3
4192.45,1964-04-01,1964,4
4192.75,1964-04-15,1964,4
4193.0,1964-05-01,1964,5
4193.35,1964-05-15,1964,5
4193.45,1964-06-01,1964,6
4193.85,1964-06-15,1964,6
4194.15,1964-07-01,1964,7
4194.0,1964-07-15,1964,7
4193.6,1964-08-01,1964,8
4193.35,1964-08-15,1964,8
4193.0,1964-09-01,1964,9
4192.8,1964-09-15,1964,9
4192.6,1964-10-01,1964,10
4192.5,1964-10-15,1964,10
4192.4,1964-11-01,1964,11
4192.4,1964-11-15,1964,11
4192.4,1964-12-01,1964,12
4192.5,1964-12-15,1964,12
4192.9,1965-01-01,1965,1
4193.15,1965-01-15,1965,1
4193.4,1965-02-01,1965,2
4193.55,1965-02-15,1965,2
4193.65,1965-03-01,1965,3
4193.7,1965-03-15,1965,3
4193.7,1965-04-01,1965,4
4193.8,1965-04-15,1965,4
4194.05,1965-05-01,1965,5
4194.25,1965-05-15,1965,5
4194.25,1965-06-01,1965,6
4194.2,1965-06-15,1965,6
4194.2,1965-07-01,1965,7
4194.05,1965-07-15,1965,7
4193.85,1965-08-01,1965,8
4193.75,1965-08-15,1965,8
4193.65,1965-09-01,1965,9
4193.75,1965-09-15,1965,9
4193.75,1965-10-01,1965,10
4193.8,1965-10-15,1965,10
4193.8,1965-11-01,1965,11
4193.85,1965-11-15,1965,11
4194.1,1965-12-01,1965,12
4194.4,1965-12-15,1965,12
4194.4,1966-01-01,1966,1
4194.7,1966-01-15,1966,1
4194.75,1966-02-01,1966,2
4194.95,1966-02-15,1966,2
4195.1,1966-03-01,1966,3
4195.45,1966-03-15,1966,3
4195.55,1966-04-01,1966,4
4195.6,1966-04-15,1966,4
4195.6,1966-05-01,1966,5
4195.55,1966-05-15,1966,5
4195.4,1966-06-01,1966,6
4195.15,1966-06-15,1966,6
4194.9,1966-07-01,1966,7
4194.55,1966-07-15,1966,7
4194.35,1966-08-01,1966,8
4194.05,1966-08-15,1966,8
4193.75,1966-09-01,1966,9
4193.45,1966-09-15,1966,9
4193.4,1966-10-01,1966,10
4193.3,1966-10-15,1966,10
4193.2,1966-11-01,1966,11
4193.3,1966-11-15,1966,11
4193.3,1966-12-01,1966,12
4193.4,1966-12-15,1966,12
4193.5,1967-01-01,1967,1
4193.5,1967-01-15,1967,1
4193.7,1967-02-01,1967,2
4193.85,1967-02-15,1967,2
4193.95,1967-03-01,1967,3
4193.95,1967-03-15,1967,3
4194.05,1967-04-01,1967,4
4194.1,1967-04-15,1967,4
4194.3,1967-05-01,1967,5
4194.4,1967-05-15,1967,5
4194.45,1967-06-01,1967,6
4194.85,1967-06-15,1967,6
4195.15,1967-07-01,1967,7
4194.95,1967-07-15,1967,7
4194.65,1967-08-01,1967,8
4194.4,1967-08-15,1967,8
4194.15,1967-09-01,1967,9
4193.95,1967-09-15,1967,9
4193.85,1967-10-01,1967,10
4193.8,1967-10-15,1967,10
4193.8,1967-11-01,1967,11
4193.85,1967-11-15,1967,11
4193.9,1967-12-01,1967,12
4193.9,1967-12-15,1967,12
4194.0,1968-01-01,1968,1
4194.15,1968-01-15,1968,1
4194.25,1968-02-01,1968,2
4194.35,1968-02-15,1968,2
4194.8,1968-03-01,1968,3
4195.15,1968-03-15,1968,3
4195.3,1968-04-01,1968,4
4195.4,1968-04-15,1968,4
4195.45,1968-05-01,1968,5
4195.4,1968-05-15,1968,5
4195.4,1968-06-01,1968,6
4195.6,1968-06-15,1968,6
4195.45,1968-07-01,1968,7
4195.2,1968-07-15,1968,7
4194.95,1968-08-01,1968,8
4194.7,1968-08-15,1968,8
4194.65,1968-09-01,1968,9
4194.55,1968-09-15,1968,9
4194.3,1968-10-01,1968,10
4194.2,1968-10-15,1968,10
4194.4,1968-11-01,1968,11
4194.45,1968-11-15,1968,11
4194.55,1968-12-01,1968,12
4194.7,1968-12-15,1968,12
4194.9,1969-01-01,1969,1
4195.1,1969-01-15,1969,1
4195.5,1969-02-01,1969,2
4195.7,1969-02-15,1969,2
4196.05,1969-03-01,1969,3
4196.3,1969-03-15,1969,3
4196.7,1969-04-01,1969,4
4197.0,1969-04-15,1969,4
4197.05,1969-05-01,1969,5
4197.1,1969-05-15,1969,5
4196.9,1969-06-01,1969,6
4196.7,1969-06-15,1969,6
4196.65,1969-07-01,1969,7
4196.55,1969-07-15,1969,7
4196.3,1969-08-01,1969,8
4196.0,1969-08-15,1969,8
4195.7,1969-09-01,1969,9
4195.45,1969-09-15,1969,9
4195.25,1969-10-01,1969,10
4195.1,1969-10-15,1969,10
4195.25,1969-11-01,1969,11
4195.35,1969-11-15,1969,11
4195.45,1969-12-01,1969,12
4195.55,1969-12-15,1969,12
4195.7,1970-01-01,1970,1
4195.7,1970-01-15,1970,1
4196.1,1970-02-01,1970,2
4196.25,1970-02-15,1970,2
4196.3,1970-03-01,1970,3
4196.35,1970-03-15,1970,3
4196.4,1970-04-01,1970,4
4196.3,1970-04-15,1970,4
4196.35,1970-05-01,1970,5
4196.35,1970-05-15,1970,5
4196.4,1970-06-01,1970,6
4196.39,1970-06-15,1970,6
4196.25,1970-07-01,1970,7
4196.05,1970-07-15,1970,7
4195.7,1970-08-01,1970,8
4195.5,1970-08-15,1970,8
4195.25,1970-09-01,1970,9
4195.1,1970-09-15,1970,9
4194.9,1970-10-01,1970,10
4194.85,1970-10-15,1970,10
4194.9,1970-11-01,1970,11
4195.15,1970-11-15,1970,11
4195.25,1970-12-01,1970,12
4195.5,1970-12-15,1970,12
4195.65,1971-01-01,1971,1
4195.8,1971-01-15,1971,1
4196.25,1971-02-01,1971,2
4196.5,1971-02-15,1971,2
4196.7,1971-03-01,1971,3
4196.8,1971-03-15,1971,3
4196.95,1971-04-01,1971,4
4197.1,1971-04-15,1971,4
4197.55,1971-05-01,1971,5
4197.75,1971-05-15,1971,5
4197.9,1971-06-01,1971,6
4198.0,1971-06-15,1971,6
4198.0,1971-07-01,1971,7
4197.8,1971-07-15,1971,7
4197.55,1971-08-01,1971,8
4197.25,1971-08-15,1971,8
4197.05,1971-09-01,1971,9
4197.05,1971-09-15,1971,9
4196.85,1971-10-01,1971,10
4197.0,1971-10-15,1971,10
4197.15,1971-11-01,1971,11
4197.45,1971-11-15,1971,11
4197.6,1971-12-01,1971,12
4197.65,1971-12-15,1971,12
4197.85,1972-01-01,1972,1
4198.0,1972-01-15,1972,1
4198.25,1972-02-01,1972,2
4198.4,1972-02-15,1972,2
4198.7,1972-03-01,1972,3
4198.9,1972-03-15,1972,3
4199.0,1972-04-01,1972,4
4199.25,1972-04-15,1972,4
4199.5,1972-05-01,1972,5
4199.6,1972-05-15,1972,5
4199.5,1972-06-01,1972,6
4199.4,1972-06-15,1972,6
4199.15,1972-07-01,1972,7
4199.0,1972-07-15,1972,7
4198.6,1972-08-01,1972,8
4198.4,1972-08-15,1972,8
4198.1,1972-09-01,1972,9
4197.95,1972-09-15,1972,9
4197.9,1972-10-01,1972,10
4197.95,1972-10-15,1972,10
4198.1,1972-11-01,1972,11
4198.25,1972-11-15,1972,11
4198.4,1972-12-01,1972,12
4198.45,1972-12-15,1972,12
4198.65,1973-01-01,1973,1
4198.75,1973-01-15,1973,1
4198.95,1973-02-01,1973,2
4199.2,1973-02-15,1973,2
4199.35,1973-03-01,1973,3
4199.8,1973-03-15,1973,3
4200.15,1973-04-01,1973,4
4200.2,1973-04-15,1973,4
4200.35,1973-05-01,1973,5
4200.45,1973-05-15,1973,5
4200.45,1973-06-01,1973,6
4200.35,1973-06-15,1973,6
4200.15,1973-07-01,1973,7
4199.85,1973-07-15,1973,7
4199.7,1973-08-01,1973,8
4199.45,1973-08-15,1973,8
4199.15,1973-09-01,1973,9
4199.15,1973-09-15,1973,9
4199.2,1973-10-01,1973,10
4199.2,1973-10-15,1973,10
4199.2,1973-11-01,1973,11
4199.25,1973-11-15,1973,11
4199.35,1973-12-01,1973,12
4199.45,1973-12-15,1973,12
4199.6,1974-01-01,1974,1
4199.65,1974-01-15,1974,1
4199.85,1974-02-01,1974,2
4200.05,1974-02-15,1974,2
4200.2,1974-03-01,1974,3
4200.55,1974-03-15,1974,3
4200.7,1974-04-01,1974,4
4201.05,1974-04-15,1974,4
4201.15,1974-05-01,1974,5
4201.25,1974-05-15,1974,5
4201.3,1974-06-01,1974,6
4201.25,1974-06-15,1974,6
4201.0,1974-07-01,1974,7
4200.45,1974-07-15,1974,7
4200.2,1974-08-01,1974,8
4199.85,1974-08-15,1974,8
4199.65,1974-09-01,1974,9
4199.35,1974-09-15,1974,9
4199.25,1974-10-01,1974,10
4199.15,1974-10-15,1974,10
4199.3,1974-11-01,1974,11
4199.35,1974-11-15,1974,11
4199.35,1974-12-01,1974,12
4199.45,1974-12-15,1974,12
4199.55,1975-01-01,1975,1
4199.55,1975-01-15,1975,1
4199.65,1975-02-01,1975,2
4199.8,1975-02-15,1975,2
4199.95,1975-03-01,1975,3
4200.2,1975-03-15,1975,3
4200.45,1975-04-01,1975,4
4200.6,1975-04-15,1975,4
4200.9,1975-05-01,1975,5
4201.15,1975-05-15,1975,5
4201.35,1975-06-01,1975,6
4201.55,1975-06-15,1975,6
4201.45,1975-07-01,1975,7
4201.4,1975-07-15,1975,7
4201.05,1975-08-01,1975,8
4200.75,1975-08-15,1975,8
4200.4,1975-09-01,1975,9
4200.2,1975-09-15,1975,9
4200.0,1975-10-01,1975,10
4199.9,1975-10-15,1975,10
4200.1,1975-11-01,1975,11
4200.2,1975-11-15,1975,11
4200.3,1975-12-01,1975,12
4200.45,1975-12-15,1975,12
4200.6,1976-01-01,1976,1
4200.7,1976-01-15,1976,1
4200.8,1976-02-01,1976,2
4201.1,1976-02-15,1976,2
4201.2,1976-03-01,1976,3
4201.5,1976-03-15,1976,3
4201.65,1976-04-01,1976,4
4201.85,1976-04-15,1976,4
4202.1,1976-05-01,1976,5
4202.2,1976-05-15,1976,5
4202.25,1976-06-01,1976,6
4202.0,1976-06-15,1976,6
4201.85,1976-07-01,1976,7
4201.55,1976-07-15,1976,7
4201.25,1976-08-01,1976,8
4200.9,1976-08-15,1976,8
4200.7,1976-09-01,1976,9
4200.5,1976-09-15,1976,9
4200.4,1976-10-01,1976,10
4200.4,1976-10-15,1976,10
4200.3,1976-11-01,1976,11
4200.35,1976-11-15,1976,11
4200.3,1976-12-01,1976,12
4200.4,1976-12-15,1976,12
4200.45,1977-01-01,1977,1
4200.5,1977-01-15,1977,1
4200.5,1977-02-01,1977,2
4200.6,1977-02-15,1977,2
4200.65,1977-03-01,1977,3
4200.75,1977-03-15,1977,3
4200.75,1977-04-01,1977,4
4200.75,1977-04-15,1977,4
4200.65,1977-05-01,1977,5
4200.5,1977-05-15,1977,5
4200.7,1977-06-01,1977,6
4200.6,1977-06-15,1977,6
4200.25,1977-07-01,1977,7
4199.95,1977-07-15,1977,7
4199.65,1977-08-01,1977,8
4199.4,1977-08-15,1977,8
4199.25,1977-09-01,1977,9
4199.0,1977-09-15,1977,9
4198.9,1977-10-01,1977,10
4198.8,1977-10-15,1977,10
4198.7,1977-11-01,1977,11
4198.65,1977-11-15,1977,11
4198.65,1977-12-01,1977,12
4198.7,1977-12-15,1977,12
4198.8,1978-01-01,1978,1
4198.85,1978-01-15,1978,1
4199.1,1978-02-01,1978,2
4199.3,1978-02-15,1978,2
4199.4,1978-03-01,1978,3
4199.65,1978-03-15,1978,3
4199.8,1978-04-01,1978,4
4199.95,1978-04-15,1978,4
4200.2,1978-05-01,1978,5
4200.2,1978-05-15,1978,5
4200.25,1978-06-01,1978,6
4200.2,1978-06-15,1978,6
4199.85,1978-07-01,1978,7
4199.6,1978-07-15,1978,7
4199.25,1978-08-01,1978,8
4198.9,1978-08-15,1978,8
4198.7,1978-09-01,1978,9
4198.45,1978-09-15,1978,9
4198.55,1978-10-01,1978,10
4198.45,1978-10-15,1978,10
4198.4,1978-11-01,1978,11
4198.4,1978-11-15,1978,11
4198.5,1978-12-01,1978,12
4198.55,1978-12-15,1978,12
4198.65,1979-01-01,1979,1
4198.7,1979-01-15,1979,1
4198.75,1979-02-01,1979,2
4198.9,1979-02-15,1979,2
4199.1,1979-03-01,1979,3
4199.4,1979-03-15,1979,3
4199.75,1979-04-01,1979,4
4199.85,1979-04-15,1979,4
4199.85,1979-05-01,1979,5
4199.9,1979-05-15,1979,5
4199.75,1979-06-01,1979,6
4199.5,1979-06-15,1979,6
4199.25,1979-07-01,1979,7
4198.9,1979-07-15,1979,7
4198.65,1979-08-01,1979,8
4198.35,1979-08-15,1979,8
4198.15,1979-09-01,1979,9
4197.85,1979-09-15,1979,9
4197.65,1979-10-01,1979,10
4197.5,1979-10-15,1979,10
4197.6,1979-11-01,1979,11
4197.55,1979-11-15,1979,11
4197.6,1979-12-01,1979,12
4197.65,1979-12-15,1979,12
4197.7,1980-01-01,1980,1
4197.85,1980-01-15,1980,1
4198.25,1980-02-01,1980,2
4198.35,1980-02-15,1980,2
4198.85,1980-03-01,1980,3
4199.1,1980-03-15,1980,3
4199.2,1980-04-01,1980,4
4199.3,1980-04-15,1980,4
4199.4,1980-05-01,1980,5
4199.85,1980-05-15,1980,5
4200.1,1980-06-01,1980,6
4200.55,1980-06-15,1980,6
4200.35,1980-07-01,1980,7
4200.15,1980-07-15,1980,7
4199.9,1980-08-01,1980,8
4199.4,1980-08-15,1980,8
4199.3,1980-09-01,1980,9
4199.2,1980-09-15,1980,9
4199.1,1980-10-01,1980,10
4199.0,1980-10-15,1980,10
4199.0,1980-11-01,1980,11
4199.1,1980-11-15,1980,11
4199.25,1980-12-01,1980,12
4199.35,1980-12-15,1980,12
4199.5,1981-01-01,1981,1
4199.65,1981-01-15,1981,1
4199.8,1981-02-01,1981,2
4199.85,1981-02-15,1981,2
4199.85,1981-03-01,1981,3
4199.95,1981-03-15,1981,3
4200.0,1981-04-01,1981,4
4200.05,1981-04-15,1981,4
4200.0,1981-05-01,1981,5
4199.9,1981-05-15,1981,5
4200.05,1981-06-01,1981,6
4200.15,1981-06-15,1981,6
4199.9,1981-07-01,1981,7
4199.55,1981-07-15,1981,7
4199.2,1981-08-01,1981,8
4198.85,1981-08-15,1981,8
4198.6,1981-09-01,1981,9
4198.4,1981-09-15,1981,9
4198.15,1981-10-01,1981,10
4198.35,1981-10-15,1981,10
4198.35,1981-11-01,1981,11
4198.4,1981-11-15,1981,11
4198.4,1981-12-01,1981,12
4198.45,1981-12-15,1981,12
4198.6,1982-01-01,1982,1
4198.7,1982-01-15,1982,1
4198.8,1982-02-01,1982,2
4198.85,1982-02-15,1982,2
4199.2,1982-03-01,1982,3
4199.45,1982-03-15,1982,3
4199.8,1982-04-01,1982,4
4200.1,1982-04-15,1982,4
4200.25,1982-05-01,1982,5
4200.55,1982-05-15,1982,5
4200.7,1982-06-01,1982,6
4200.7,1982-06-15,1982,6
4200.45,1982-07-01,1982,7
4200.35,1982-07-15,1982,7
4200.25,1982-08-01,1982,8
4199.9,1982-08-15,1982,8
4199.75,1982-09-01,1982,9
4199.65,1982-09-15,1982,9
4200.05,1982-10-01,1982,10
4200.3,1982-10-15,1982,10
4200.5,1982-11-01,1982,11
4200.7,1982-11-15,1982,11
4200.9,1982-12-01,1982,12
4201.25,1982-12-15,1982,12
4201.45,1983-01-01,1983,1
4201.6,1983-01-15,1983,1
4201.9,1983-02-01,1983,2
4202.15,1983-02-15,1983,2
4202.25,1983-03-01,1983,3
4202.45,1983-03-15,1983,3
4203.0,1983-04-01,1983,4
4203.25,1983-04-15,1983,4
4203.5,1983-05-01,1983,5
4203.65,1983-05-15,1983,5
4204.05,1983-06-01,1983,6
4204.5,1983-06-15,1983,6
4204.75,1983-06-30,1983,6
4204.7,1983-07-01,1983,7
4204.65,1983-07-15,1983,7
4204.45,1983-08-01,1983,8
4204.3,1983-08-15,1983,8
4204.4,1983-09-01,1983,9
4204.4,1983-09-15,1983,9
4204.25,1983-09-25,1983,9
4204.35,1983-10-01,1983,10
4204.55,1983-10-15,1983,10
4204.7,1983-11-01,1983,11
4204.75,1983-11-15,1983,11
4205.05,1983-12-01,1983,12
4205.4,1983-12-15,1983,12
4205.9,1984-01-01,1984,1
4206.15,1984-01-15,1984,1
4206.3,1984-02-01,1984,2
4206.5,1984-02-15,1984,2
4206.7,1984-03-01,1984,3
4206.9,1984-03-15,1984,3
4207.35,1984-04-01,1984,4
4207.5,1984-04-15,1984,4
4207.9,1984-05-01,1984,5
4208.2,1984-05-15,1984,5
4208.6,1984-06-01,1984,6
4209.0,1984-06-15,1984,6
4209.1,1984-07-01,1984,7
4208.9,1984-07-15,1984,7
4208.9,1984-08-01,1984,8
4208.4,1984-08-15,1984,8
4208.0,1984-09-01,1984,9
4207.8,1984-09-15,1984,9
4207.7,1984-10-01,1984,10
4207.8,1984-10-15,1984,10
4207.9,1984-11-01,1984,11
4208.1,1984-11-15,1984,11
4208.1,1984-12-01,1984,12
4208.3,1984-12-15,1984,12
4208.5,1985-01-01,1985,1
4208.6,1985-01-15,1985,1
4208.8,1985-02-01,1985,2
4208.8,1985-02-15,1985,2
4209.0,1985-03-01,1985,3
4209.2,1985-03-15,1985,3
4209.4,1985-04-01,1985,4
4209.6,1985-04-15,1985,4
4209.8,1985-05-01,1985,5
4209.8,1985-05-15,1985,5
4209.8,1985-05-21,1985,5
4209.8,1985-06-01,1985,6
4209.6,1985-06-15,1985,6
4209.3,1985-07-01,1985,7
4209.2,1985-07-15,1985,7
4208.9,1985-08-01,1985,8
4208.6,1985-08-15,1985,8
4208.4,1985-09-01,1985,9
4208.2,1985-09-15,1985,9
4208.2,1985-10-01,1985,10
4208.2,1985-10-15,1985,10
4208.1,1985-10-16,1985,10
4208.1,1985-11-01,1985,11
4208.2,1985-11-15,1985,11
4208.3,1985-12-01,1985,12
4208.5,1985-12-15,1985,12
4208.7,1986-01-01,1986,1
4208.7,1986-01-15,1986,1
4208.9,1986-02-01,1986,2
4209.1,1986-02-15,1986,2
4209.7,1986-03-01,1986,3
4210.0,1986-03-15,1986,3
4210.2,1986-04-01,1986,4
4210.7,1986-04-15,1986,4
4211.0,1986-05-01,1986,5
4211.4,1986-05-15,1986,5
4211.5,1986-06-01,1986,6
4211.6,1986-06-03,1986,6
4211.2,1986-06-15,1986,6
4211.1,1986-07-01,1986,7
4210.9,1986-07-15,1986,7
4210.8,1986-08-01,1986,8
4210.6,1986-08-15,1986,8
4210.5,1986-09-01,1986,9
4210.4,1986-09-15,1986,9
4210.4,1986-10-01,1986,10
4210.5,1986-10-15,1986,10
4210.6,1986-11-01,1986,11
4210.6,1986-11-15,1986,11
4210.7,1986-12-01,1986,12
4210.7,1986-12-15,1986,12
4210.9,1987-01-01,1987,1
4211.0,1987-01-15,1987,1
4211.1,1987-02-01,1987,2
4211.2,1987-02-15,1987,2
4211.3,1987-03-01,1987,3
4211.4,1987-03-15,1987,3
4211.5,1987-04-01,1987,4
4211.5,1987-04-15,1987,4
4211.4,1987-05-01,1987,5
4211.3,1987-05-15,1987,5
4211.2,1987-06-01,1987,6
4211.2,1987-06-15,1987,6
4210.8,1987-07-01,1987,7
4210.5,1987-07-15,1987,7
4210.3,1987-08-01,1987,8
4209.9,1987-08-15,1987,8
4209.6,1987-09-01,1987,9
4209.4,1987-09-15,1987,9
4209.1,1987-10-01,1987,10
4209.0,1987-10-15,1987,10
4209.0,1987-11-01,1987,11
4209.0,1987-11-15,1987,11
4209.0,1987-12-01,1987,12
4209.0,1987-12-15,1987,12
4208.9,1987-12-20,1987,12
4209.0,1988-01-01,1988,1
4209.0,1988-01-15,1988,1
4209.0,1988-02-01,1988,2
4209.1,1988-02-10,1988,2
4209.1,1988-02-15,1988,2
4209.1,1988-03-01,1988,3
4209.1,1988-03-15,1988,3
4209.0,1988-04-01,1988,4
4209.0,1988-04-15,1988,4
4209.0,1988-05-01,1988,5
4208.8,1988-05-15,1988,5
4208.6,1988-06-01,1988,6
4208.5,1988-06-15,1988,6
4208.1,1988-07-01,1988,7
4207.6,1988-07-15,1988,7
4207.4,1988-08-01,1988,8
4206.9,1988-08-15,1988,8
4206.9,1988-09-01,1988,9
4206.4,1988-09-15,1988,9
4206.2,1988-10-01,1988,10
4206.1,1988-10-15,1988,10
4205.9,1988-11-01,1988,11
4205.9,1988-11-15,1988,11
4205.9,1988-12-01,1988,12
4205.9,1988-12-15,1988,12
4205.9,1989-01-01,1989,1
4205.9,1989-01-15,1989,1
4205.9,1989-02-01,1989,2
4205.9,1989-02-15,1989,2
4205.9,1989-03-01,1989,3
4206.1,1989-03-15,1989,3
4206.1,1989-04-01,1989,4
4206.1,1989-04-15,1989,4
